번호,원문등록번호,제목,처리시각,상태,공개구분,기관명,비고
1,B10CB260939745090000,"보도자료 제출(구로도서관 청렴 화초 가꾸기 행사)",2026-04-04T01:07:32.205Z,ok,부분공개,서울특별시교육청,
2,B10CB260939834434000,"감사원 보고 자료(2026년 1/4분기 지출계산서) 제출",2026-04-04T01:07:32.263Z,ok,부분공개,서울특별시교육청,
3,B10CB260939887333000,"[독서동아리] 『소설에서 스크린까지』 강사료 및 원고료 지급",2026-04-04T01:07:32.300Z,ok,부분공개,서울특별시교육청,
4,B10CB260939902383000,"「철(哲)든 책 그리고 논제」 운영 도서 택배비 지출",2026-04-04T01:07:32.333Z,ok,부분공개,서울특별시교육청,
5,B10CB260939851598000,"2026년 평생학습 프로그램 모니터링 및 업무협의회비 지급",2026-04-04T01:07:32.369Z,ok,부분공개,서울특별시교육청,
6,B10CB260939773005000,"서울특별시교육청어린이도서관 내부규정 일부개정",2026-04-04T01:07:32.406Z,ok,공개,서울특별시교육청,
7,B10CB260939778044000,"유관기관과의 업무협의회비 지급",2026-04-04T01:07:32.444Z,ok,부분공개,서울특별시교육청,
8,J10CB260928686277000,"경기도교육청남부연수원-아르헨티나한국국제학교 업무협약에 따른 2026년도 원격직무연수 운영 계획",2026-04-04T01:07:32.478Z,ok,부분공개,경기도교육청,
9,B10CB260918915617000,"2026년 3월 장서통계 보고",2026-04-04T01:07:32.509Z,ok,공개,서울특별시교육청,
10,B10CB260939794708000,"2026년 공공도서관 건립·운영 담당자 워크숍 신청",2026-04-04T01:07:32.542Z,ok,부분공개,서울특별시교육청,
